Gene,110-1E,173-1E,187-1E,130-1E,136-1E,151-1E,154-1E,178-1E,183-1E,240-2E,110-2E,173-2E,187-2E,130-2E,136-3E,151-2E,154-2E,178-2E,183-3E,240-3E
ABCF1,20.23,20.02,22.06,22.86,22.46,23.11,21.65,22.32,21.60,22.15,21.91,21.49,21.01,21.18,21.18,21.63,20.49,21.67,20.21,20.9
ADGRE5,18.76,19.18,19.51,18.45,19.99,19.70,19.89,18.79,19.48,19.53,19.09,19.45,18.60,18.93,19.17,17.71,19.67,18.66,19.70,19.42
ADORA2A,13.94,12.57,7.09,15.83,13.46,6.92,13.72,13.27,14.41,15.01,15.26,14.35,11.80,14.23,13.22,14.40,14.23,13.30,14.57,14.64
AIF1,13.20,13.24,7.09,16.21,11.42,6.42,14.61,12.44,13.44,15.01,14.16,12.69,12.02,14.75,13.10,13.32,15.28,11.25,12.33,11.45
AKT1,19.94,19.66,21.46,22.14,22.12,22.47,21.85,22.00,21.63,21.91,21.66,21.30,20.64,20.92,21.00,21.23,20.45,21.56,20.63,20.49
ALOX15B,10.57,5.95,11.63,11.69,10.48,12.17,11.07,7.93,8.94,12.87,8.36,12.91,11.08,7.19,8.77,13.23,7.09,8.52,6.10,8.01
ARG1,6.37,5.45,7.09,6.88,5.96,6.42,6.08,6.64,13.13,6.19,6.56,10.24,6.16,5.61,12.80,6.23,5.93,12.16,6.10,5.92
AXL,12.83,13.89,13.01,15.73,10.48,13.46,12.09,12.71,14.26,12.27,12.92,13.44,11.89,14.30,11.56,14.14,12.27,13.48,14.89,5.92
B3GAT1,9.19,5.45,12.43,11.85,10.32,11.85,8.37,7.64,11.27,11.72,8.36,13.09,12.68,11.60,13.57,13.47,9.37,9.27,6.10,7.51
BAGE,6.37,5.45,7.09,6.88,5.96,6.42,6.08,6.64,6.54,6.19,6.56,6.07,6.16,5.61,6.02,6.23,5.93,6.20,6.10,5.92
BATF,14.81,12.68,13.32,18.32,14.21,14.58,15.59,15.22,15.16,16.29,17.22,12.25,7.16,15.31,13.24,14.19,15.21,7.20,14.00,13.35
BCL2,14.71,14.84,15.33,16.17,16.01,15.42,15.44,15.84,15.36,15.78,15.68,16.83,16.18,16.14,16.42,16.20,17.05,16.53,15.69,16.81
BCL2L11,18.87,17.35,17.35,16.58,16.20,17.76,18.01,17.73,18.79,17.48,18.72,17.65,16.47,17.63,18.19,18.26,18.38,18.01,19.49,16.78
BCL6,16.39,16.22,14.52,15.69,16.17,16.17,16.65,15.61,15.81,16.26,16.49,16.01,15.04,16.49,15.54,15.79,16.28,16.04,16.57,15.02
BRCA1,16.08,17.17,18.67,19.49,19.43,19.10,17.82,18.10,18.23,18.81,17.90,19.64,18.59,18.69,17.69,17.65,16.75,18.74,17.50,18.73
BRCA2,13.48,14.51,7.09,13.64,13.55,11.97,12.93,12.26,12.59,14.03,13.61,15.89,14.80,14.27,14.49,13.43,11.74,13.70,13.89,15.43
BST2,16.53,14.70,16.84,17.74,13.86,15.64,15.70,16.22,16.67,16.36,16.51,15.73,11.50,17.24,15.39,15.43,16.87,15.44,15.85,14.63
BTLA,12.65,11.22,13.49,14.08,5.96,6.42,13.95,7.43,6.54,13.28,14.44,11.30,10.05,13.07,11.52,13.86,13.75,13.12,13.00,11.81
BUB1,14.95,15.72,16.15,16.71,16.54,17.12,15.68,14.84,15.97,14.57,14.43,17.38,16.90,16.82,17.20,16.82,16.68,16.28,16.14,16.78
C10orf54,19.95,17.91,16.93,17.09,17.53,17.93,18.59,18.59,18.53,17.27,19.32,18.33,17.67,19.44,18.87,18.79,18.76,18.47,19.44,17.56
C1QA,12.56,12.61,7.09,17.66,6.46,6.42,10.96,8.14,14.35,12.22,14.70,12.67,10.00,14.37,12.09,15.07,15.46,6.20,12.01,11.61
C1QB,12.93,12.26,7.09,13.68,5.96,12.71,12.88,7.14,11.41,6.19,12.60,6.07,11.03,13.96,14.78,12.72,14.42,11.61,6.10,5.92
CA4,23.60,20.19,20.95,16.75,16.75,21.15,22.19,22.55,22.59,20.04,23.18,21.45,20.61,22.26,23.24,22.54,22.22,22.29,23.34,19.93
CBLB,19.95,19.38,19.66,19.32,19.78,19.07,20.18,20.36,19.93,19.50,20.79,19.63,18.57,19.58,19.33,19.44,19.92,19.60,20.61,18.67
CCL17,6.37,5.45,7.09,6.88,5.96,6.42,6.08,6.64,6.54,6.19,6.56,6.07,6.16,5.61,6.02,6.23,5.93,6.20,6.10,5.92
CCL18,6.37,5.45,7.09,6.88,5.96,6.42,6.08,11.54,6.54,13.38,6.56,6.07,6.16,14.72,6.02,6.23,12.75,6.20,6.10,5.92
CCL2,10.72,10.48,7.09,15.72,11.47,11.21,10.36,12.81,13.38,6.19,10.50,11.60,8.11,12.58,9.77,9.81,12.64,11.95,12.28,10.13
CCL20,16.17,14.16,7.88,15.14,14.65,14.94,14.88,14.58,15.54,17.27,15.65,11.59,12.51,15.31,13.34,11.83,18.94,12.26,16.70,14.4
CCL21,9.93,7.54,13.01,13.69,12.13,14.18,13.20,11.26,14.35,18.44,10.73,11.48,13.17,16.56,11.45,12.72,10.27,13.07,9.73,14.8
CCL22,10.36,9.61,7.09,15.74,5.96,6.42,6.08,6.64,12.43,6.19,6.56,12.29,6.16,5.61,6.02,6.23,11.52,6.70,10.85,10
CCL3,13.72,12.37,7.09,15.80,5.96,6.42,15.15,13.42,11.96,6.19,15.26,11.73,12.44,14.10,12.39,13.31,14.61,6.70,10.77,14.1
CCL4,15.97,9.89,7.09,10.68,13.89,6.42,14.80,13.57,11.80,13.43,15.85,12.53,10.24,14.31,12.46,6.23,16.18,7.20,12.69,12.95
CCL5,19.90,15.47,15.05,18.36,14.92,17.78,18.43,17.33,17.14,17.27,19.71,16.49,14.90,17.89,15.36,16.84,19.05,16.03,16.88,16.8
CCNB2,15.93,17.36,17.38,17.43,18.35,16.75,17.34,16.45,16.41,16.48,15.77,18.84,18.50,17.48,17.66,17.11,17.82,17.25,17.66,17.86
CCR1,12.72,11.35,15.07,13.95,5.96,13.91,13.61,12.40,12.38,11.80,14.09,12.33,6.16,11.87,6.02,10.07,14.64,6.20,11.93,12.1
CCR2,10.67,10.00,7.09,15.04,5.96,6.42,11.79,12.79,11.92,11.69,12.89,14.23,7.16,13.96,6.02,13.13,15.08,12.50,11.41,12.99
CCR4,6.37,9.97,7.09,14.83,5.96,6.42,6.08,7.14,6.54,11.56,6.56,10.36,6.16,11.39,6.02,12.80,5.93,11.49,6.10,5.92
CCR5,16.37,13.02,7.09,16.66,12.79,12.56,16.00,15.72,15.08,14.48,16.76,13.81,11.89,16.44,13.50,13.60,14.91,13.30,14.79,12.81
CCR6,11.76,10.12,11.37,14.05,9.96,12.01,12.01,8.22,13.23,13.61,11.68,12.67,13.13,13.22,13.21,14.11,12.35,11.31,7.10,13.1
CCR7,6.37,8.91,7.09,7.38,5.96,6.42,6.08,6.64,6.54,13.81,14.31,11.09,6.16,12.11,6.02,15.03,14.61,6.20,10.58,5.92
CD14,17.56,16.03,16.28,17.18,13.60,15.50,16.67,16.90,17.22,16.56,16.42,16.84,17.88,17.73,17.85,18.00,17.55,17.33,16.79,17.35
CD160,16.75,12.74,7.09,15.16,5.96,13.30,12.99,11.87,14.96,6.19,16.35,9.64,6.16,14.88,12.73,13.59,14.61,13.03,14.09,5.92
CD163,12.77,12.82,7.09,16.19,6.46,12.78,7.37,13.82,11.51,13.06,13.61,14.47,6.16,14.73,11.46,13.09,15.09,13.11,14.39,5.92
CD19,13.73,12.82,7.09,18.40,13.19,14.47,15.12,14.74,13.15,16.52,14.68,14.11,12.05,16.16,12.12,17.35,14.85,16.56,12.36,5.92
CD1C,11.70,5.45,13.33,13.01,11.77,11.76,8.90,7.64,11.34,10.77,7.56,11.38,11.91,10.84,9.73,12.69,9.75,11.57,6.89,9.33
CD1D,14.22,14.36,13.88,14.62,11.78,12.32,14.05,15.01,13.06,13.01,14.09,15.34,13.66,15.06,13.45,13.54,15.72,14.23,14.87,13.84
CD2,16.07,14.51,7.09,15.51,14.14,12.51,14.56,14.97,14.59,14.61,16.11,13.62,12.14,15.67,9.31,13.91,16.58,13.83,14.69,15.24
CD209,13.51,12.95,7.09,16.70,13.27,6.42,6.87,15.57,14.87,12.32,14.79,15.31,11.87,15.73,14.86,15.22,13.80,14.29,11.25,5.92
CD22,13.67,13.44,11.69,17.45,13.75,13.13,13.92,14.19,14.15,17.40,14.81,14.01,11.00,15.79,14.95,18.50,15.74,14.80,13.63,13.99
CD226,15.29,12.86,7.09,15.99,15.17,6.92,12.25,13.18,11.71,13.83,16.02,12.63,6.16,14.85,12.36,14.88,15.27,13.06,13.86,11.71
CD244,16.34,13.96,15.48,16.44,15.77,13.90,15.27,15.71,14.82,14.43,17.60,14.97,11.77,15.81,12.03,13.68,14.59,6.20,13.88,14.57
