Gene,110-1S,173-1S,187-1S,130-1S,136-1S,151-1S,154-1S,178-1S,183-1S,240-2S,110-2S,173-2S,187-2S,130-2S,136-3S,151-2S,154-2S,178-2S,183-3S,240-3S
ABCF1,20.19,21.08,22.04,22.58,22.32,22.14,22.76,22.32,22.17,22.44,22.78,22.66,20.89,21.26,23.14,21.52,22.25,20.88,21.85,22.19
ADGRE5,18.91,19.36,19.22,20.09,18.99,19.24,19.42,19.53,19.02,19.5,19.17,19.55,19.73,19.79,19.13,18.36,19.47,19.78,19.16,19.15
ADORA2A,14.66,17.31,13.57,17.43,15.42,13.82,15.61,16.55,15.42,16.37,16.53,17.4,15.96,15.1,14.89,13.58,15.75,15.62,14.44,16.1
AIF1,14.87,16.23,11.6,17.28,15.96,15.28,13.98,17.86,16.18,15.25,18.14,16.91,16.78,15.78,14.39,15.31,16.73,15.65,14.48,16.01
AKT1,20.44,20.73,21.51,22.22,22.02,21.85,22.1,22.44,21.6,22.01,22.46,22.24,20.63,21.02,23.87,21.47,21.97,20.96,21.36,21.93
ALOX15B,13.65,12.4,9.78,9.71,7.5,14.2,12.68,7.15,12.89,13.25,15.29,10.03,12.5,9.49,8.7,13.89,15.38,10.5,13.46,13.53
ARG1,6.4,6.61,5.52,7.15,12.98,6.41,7.63,7.15,6.47,7.22,6.89,7.14,5.93,6.36,8.2,11.41,7.28,6.42,7.73,7.6
AXL,15.36,16.18,12.26,16.05,15.23,14.34,14.92,16.01,14.94,16.88,17.09,16.35,17.57,14.53,15.3,16.14,17.78,15.8,14.52,15.09
B3GAT1,11.93,12.77,11.51,14.55,7,9.22,14.4,13.06,13.04,7.72,12.99,13.06,8.62,10.73,15.64,13.37,15.25,12.87,14.39,14.45
BAGE,6.4,6.61,6.02,7.15,7,6.41,7.13,7.15,6.47,7.22,6.89,7.14,5.93,6.86,8.2,6.61,7.28,6.42,8.23,8.1
BATF,16.49,18.47,15.18,20.07,16.81,16.75,15.85,18.91,16.82,18.11,18.7,17.99,16.98,16.97,17.75,15.01,17.65,16.52,15.2,16.76
BCL2,16.09,17.07,15.04,18.1,16.92,14.98,16.87,17.24,16.67,17.34,17.07,17.99,17.08,16.87,18.53,15.02,16.91,16.61,16.1,16.31
BCL2L11,18.4,18.55,16.45,17.84,17.63,19.2,17.49,17.65,16.86,17.88,17.43,17.35,17.49,18.37,18.25,17.98,17.52,18.77,17.24,16.46
BCL6,17.13,17.48,16.11,18.5,16.67,16.1,15.48,17.66,16.93,17.4,17.51,16.95,16.65,16.35,17.42,15.77,17.39,16.76,16.87,16.53
BRCA1,16.13,17.96,19.64,17.7,17.79,17.71,17.76,17.81,18.75,18.69,18.79,19.44,17.24,17.26,16.32,16.31,18.84,18.55,18.4,17.73
BRCA2,13.47,15.14,15.67,14.99,7,11.71,12.8,7.15,7.26,14.94,14.26,15.12,14.85,13.26,12.01,6.61,14.4,14.67,15.02,13.2
BST2,18.55,18.93,12.62,20.08,17.65,16.34,17.41,17.97,17.61,19.4,20.22,19.58,19.49,18.38,19.74,18.43,19.43,18.54,18.11,19.1
BTLA,15.16,17.1,5.52,18.03,13.41,13.01,14.63,15.46,13.74,16.36,16,16.56,15.92,14.37,13.96,10.53,14.83,13.83,14.42,14.52
BUB1,15.24,16.31,16.87,15.74,15.37,15.68,17.24,13.56,14.82,15.3,15.13,16.16,14.98,15.54,14.6,15.48,18.13,16.93,18.3,17.64
C10orf54,19.59,19.54,16.83,19.39,18,18.15,19.06,18.87,18.16,18.19,18.9,19,19.67,18.87,20.85,18.9,18.86,18.75,18.03,18.19
C1QA,15.59,15.76,5.52,17.63,15.61,12.52,15.43,16.95,16,16.89,17.76,16.07,18.55,16.29,17.86,15.3,18.89,15.68,14.44,16.92
C1QB,14.89,14.92,7.02,14.56,12.59,14.13,13.69,14.33,7.26,14.71,14.9,14.33,16.33,15.12,18.05,13.03,17.56,13.68,7.73,13.94
CA4,22.95,22.65,17.94,20,21.98,23.41,21.89,20.51,19.44,20.33,18.86,20.71,20.49,22.28,22.35,23.17,18.84,22.12,21.59,18.05
CBLB,19.71,20.32,18.84,20.43,20.02,20.4,19.89,19.47,19.98,19.7,19.59,19.61,19.45,19.6,15.39,19.53,19.17,20.3,19.49,19.45
CCL17,6.4,6.61,5.52,13.75,7,6.41,7.13,7.15,6.47,13.96,6.89,7.14,5.93,6.36,8.2,6.61,7.28,6.42,7.73,7.6
CCL18,6.4,6.61,5.52,11.51,7,6.41,14.44,7.15,6.47,15.95,6.89,11.45,5.93,6.36,8.7,7.11,11.93,10.77,7.73,7.6
CCL2,13.74,14.69,11.18,15.93,15.9,15.29,15.38,17.05,14.81,16.48,16.05,15.88,14.67,14.48,18.7,14.82,14.82,15.22,13.98,14.43
CCL20,15.85,15.61,14.94,16.21,7,17.12,7.63,13.93,12.87,19.43,15.43,14.32,14.47,19,8.2,13.39,14.55,14.78,10.82,14.48
CCL21,12.33,17.51,11.96,16.17,10.07,13.43,15.01,12.29,13.12,20.02,12.35,12.03,10.4,12.22,14.06,13.43,15.21,12.75,15.66,14.79
CCL22,11.21,17.25,5.52,18.11,15.63,16.16,7.13,15.68,6.47,15.76,6.89,14.32,15.04,14.75,15.6,6.61,9.07,10.17,10.55,7.6
CCL3,13.73,14.95,13.57,17.39,13.68,15,15.49,18.66,13.05,13.63,17.84,18.91,15.26,16.35,16.32,14.38,15.27,15.9,14.9,14.22
CCL4,14.85,15.26,6.52,16.5,13.92,13.17,8.13,17.3,14,15.07,14.38,14.5,15.11,16.81,14.01,6.61,14,13.76,7.73,15.34
CCL5,19.18,18.86,16.83,20.34,17.01,16.83,16.95,19.09,17.08,17.77,20.12,18.73,18.43,19.39,18.58,14.45,18.15,17.34,15.38,17.7
CCNB2,16.11,17.74,18.85,15.43,17.2,16.31,12.97,15.86,16.53,17.14,15.08,17.33,16.09,15.91,14.78,15.41,16.57,17.63,16.89,15.3
CCR1,15.13,13.44,10.99,15.74,13.79,14.05,14.58,15.45,14.8,14.83,15.68,15.85,15.9,14.81,14.64,14.1,14.05,13.65,13.99,14.26
CCR2,14.34,16.19,13.06,17.08,15.22,6.41,14.91,16.85,14.61,17.35,16.74,17.55,16,16.1,17.7,12.14,16.24,16.46,15.28,17.17
CCR4,6.4,15.92,6.02,16.21,7,6.41,7.13,13.22,6.47,15.51,6.89,7.14,11.05,10.96,13,6.61,7.28,12.2,11.54,7.6
CCR5,16.54,17.65,13.59,17.88,14.71,15.78,12.24,17.13,16.2,17.11,17.53,16.62,16.92,16.69,11.79,13.1,15.54,14.86,14.6,16.11
CCR6,12.28,13.08,10.47,17.22,7,9.1,12.62,14.65,6.47,15.05,13.74,11.87,12.41,11.38,11,10.39,13.12,11.84,13.7,14.44
CCR7,12.35,17.49,5.52,18.14,7.5,12.06,7.13,14.91,6.97,17.45,6.89,13.53,10.73,12.09,16.36,6.61,12.85,11.5,7.73,12.08
CD14,17.62,16.92,15.34,18.27,16.95,16.54,17.49,18.59,17.42,17.57,18.07,18.24,19.3,18.15,18.86,18.49,19.58,18.01,17.51,17.15
CD160,16.66,11.85,13.46,11.98,14.46,12.55,7.13,14.15,6.97,11.92,14.74,7.14,12.29,12.98,15.55,6.61,14.48,13.51,11.61,13.64
CD163,15.09,16.2,11.61,16.37,15.13,12.43,7.13,17.75,15.46,16.41,17.58,17.27,17.99,15.67,19.4,14.9,18.82,15.52,14.49,16.58
CD19,17.45,18.69,12.57,22.42,17.75,16.1,18.56,18.48,16.98,18.53,19.91,19.55,17.95,16.48,18.42,16.63,18.66,15.93,16.57,16.69
CD1C,11.02,11.83,11.9,13.84,7,8.57,13.39,7.15,6.47,13.22,7.89,11.1,11.09,12.49,9,10.72,14.21,8.08,15.22,15.69
CD1D,14.97,14.32,14.21,16.48,15.9,14.13,14.92,16.07,14.21,15.59,14.51,15.01,15.89,15.16,14.75,14.05,13.76,14.74,14.51,13.37
CD2,16.82,18.03,13.54,18.8,14.36,12.74,12.32,16.34,14.93,16.95,17.24,15.37,16.36,16.32,10.2,10.53,15.07,15.07,11.83,15.71
CD209,17.05,17.27,14.03,17.64,17.73,14.64,13.92,18.75,16.89,17.97,18.83,19.81,18.74,16.79,18.15,17.24,18.56,16.01,17,17.57
CD22,15.65,18.02,9.72,21.98,16.4,13.7,12,16.83,15.1,20.18,16.25,18.15,17.71,16.71,17.72,14.89,18.7,15.89,15.51,18.12
CD226,16.38,16.71,5.52,18.28,14.03,12.96,8.92,15.72,13.21,16.37,16.21,14.45,15.16,15.63,16.34,6.61,15.41,13.45,13.64,14.87
CD244,16.09,16.61,15.08,16.87,16.05,15.69,16.5,16.28,14,16.61,17.18,16.86,15.46,16.69,15.61,13,15.34,14.81,12.64,15.41
