"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"ABCF1",0.0335889459747731,-0.102912950893327,-0.00777790355558191,0.0521432022284865,0.0887040528026072,-0.0144311911079703,-0.0409549853111343,-0.0230648108949983,-0.0180413463643306,-0.0117133481696358,0.00331356988847455,0.0412618956969355,-0.00577295349019654,-0.00589840873504545,0.00712277094678666,-0.0361101375678394,-0.0292548753247706,-0.030837840203619,0.0296427985244739,0.0166751805103749,-0.0074515269582293,-0.0313795943875102,-0.0226716758447807,-0.0291816087302988,0.0270792203104246,0.0252947002466639,0.000808151458735962,0.0235171927244191,0.021927321817629,-0.0200765974719589,0.0109941597340339,0.0200211376543484,0.00219580990343514,0.0403622712931759,-0.0101011507777393,-0.0762554084826014,-0.0328780521868826,-0.0200500336126109,0.0395035095378306,-0.0705593562128841
"ADGRE5",0.0142722976619364,0.0111122373334632,-0.0570379017614352,0.0417976871245911,0.0605611154040782,0.0300405982816538,-0.055535291312609,0.0357863069343784,0.0914814602876984,0.0432358712548253,0.0732240850817093,-0.0978003422868583,-0.0042297323813921,0.197585832809924,0.0953800110353625,0.0285673535686445,0.116444845049733,-0.0837279227857136,-0.0124642644126166,-0.0744936434508181,-0.102298037839588,-0.0130491937514856,-0.00505882340394939,0.0461982569212682,-0.0225707583217835,0.0308287341220926,-0.00851606973076366,-0.0238963156039458,0.0321064184266711,0.0665211147778631,-0.0315358465514812,0.056419102187522,-0.0695143443148343,-0.0342295476830441,0.0194203028435416,0.00326916759054942,-0.0815268564859197,-0.00412656254422096,-0.0510532716513375,-0.235065195578196
"ADORA2A",0.0672011321210993,0.0338415842680507,-0.0384374563572185,0.0157079328908851,-0.0532507431160126,-0.0320500572951801,-0.0236988641266475,-0.00832173225756614,-0.0397752944536845,0.0187795356642462,-0.142266137742785,0.00347693238781806,-0.0692746573605689,-0.0131363190327892,-0.0038950685301645,0.0496768624953371,0.0440678498659755,0.00359224655971748,0.023251069745733,0.0174676127326504,-0.0353686295186619,0.0208581604943818,-0.057431209745083,0.0431820743066572,-0.0198356688484339,-0.0220005600175332,-0.0528559577926707,0.0375611066557324,0.0248476905086496,-0.0270496352658735,0.0337944592412872,-0.00969144702605017,-0.00668675071364791,0.0183115102487514,1.46051785748975e-05,-0.0220522979500471,0.0187412536226649,-0.0332403233721526,-0.00354980484348669,-0.0489299700946029
"AIF1",0.0726155961696963,0.0283408800672239,-0.0266263675379294,-0.00742764804049251,-0.0624288942080937,-0.0492362456813747,-0.0111349901360568,0.0573273374883213,-0.0536869088085956,0.0168473340592085,-0.101204168673844,0.000990524925986846,0.0221108264514876,0.00399897693111992,0.00838116377373544,-0.0103186156857879,-0.00756991363338741,0.0400204335312953,0.0267767265750685,0.00699633994202711,-0.0393776275572871,0.0149567145853471,-0.0279127809522857,0.0669459852907707,0.0257512190678672,-0.0175161526031119,-0.00238007717387576,-0.00526939547144925,-0.0107341890182708,-0.0158435510892335,0.0450471183352981,-0.0239024167129603,-0.0473827813336862,0.0164728608323268,-0.0570634446126299,-0.0403035739051731,0.00270930794032824,-0.0030058452760994,0.00806546341414668,0.0331092034568419
"AKT1",0.0405999631013289,-0.0897809240650334,0.0314363065687531,0.0784948771060692,0.0732524777706499,-0.005970134584947,-0.0383920476475119,-0.0350172185531951,-0.00872916096373329,-0.00137026979595317,-0.0130613857925059,0.0496992067253906,0.0330288480366907,0.0133199767002546,0.0211129279714364,-0.0459650501431826,0.0130849596644196,-0.0390424568593776,0.00497752815527005,0.0209708370116852,-0.0472693066865582,-0.0356267362655311,-0.00873368320119914,-0.0268679428243157,0.0047710826490783,0.0376510690756115,0.0027747567176006,0.0403464625601634,-0.00284959684965749,-0.0400705371225999,0.00733647231891661,0.0210605314386235,-0.0285945333655922,0.0365691486243539,0.0063756216913069,-0.0569454043231648,-0.0421645231069383,0.0486929263198798,0.011602355810541,-0.0281722743841988
"ALOX15B",0.023979844069712,-0.0454667286311458,-0.0291090238085318,-0.116089977831259,0.0124902562428472,-0.0109456251150286,0.0100294926834943,0.0263629307953785,-0.089206506349436,-0.0756379463944307,0.0314822064558407,0.0314209518793445,-0.0368287828294532,-0.0127398949231096,0.0165058979161295,-0.10178611187002,0.0469298957959092,0.0926676952885835,-0.000298488336452674,-0.0700121594552787,0.0198848723904128,-0.0184603392978644,-0.0584590528839286,-0.138387421467217,-0.107821997728027,0.0302571410378576,-0.0566079578974657,-0.0264354756028947,-0.0705306182061293,-0.0263217644393939,0.0317522256466789,0.0240514048840693,-0.137334913062061,-0.0823305868661698,0.0708026942188802,-0.10549168837487,-0.00682297530413621,0.0758280186605047,0.0781480917877087,-0.0518941115736909
"ARG1",-0.0036595529174909,-0.0242106115377994,0.0749541599308145,-0.0225313854283982,-0.0297546771704044,0.0183874329113818,-0.0977947810302775,-0.0410581679876089,0.00857467941647838,-0.00728817834713801,-0.11272844790035,0.0896195832092948,0.0378786637849931,0.0226545373679345,0.0434054161319021,0.0691402288621033,-0.110470964186987,-0.0746553642341874,-0.0381755500145096,-0.0136162001836426,-0.0667044594945159,0.0412792038907915,-0.0538246006306706,-0.00813449697954809,-0.117465111385386,-0.0340719769962037,0.091455583976971,0.0573520369504236,-0.135816217914617,0.194764155828885,0.0813489028289525,0.00344985459899707,0.0548451432795958,0.0552451280357185,-0.101257918223637,-0.0987985056410947,0.129496534979714,0.020039755537393,0.00958539612438522,-0.0318551668598003
"AXL",0.0681085404823844,-0.0106371183264449,0.017970034011685,-0.0511602273252113,-0.0664717557683632,-0.0205295275948988,-0.0740518710150088,0.0185142577513963,0.00492508305641182,-0.0207983813154141,0.0654112112915571,-0.00161501396581432,0.0553823620498804,-0.065056332911275,-0.0557813414119665,-0.0278356198287228,0.0068478725576025,0.00839303447619904,-0.00697796086258898,-0.126458172934764,0.014422790539442,-0.00023610523790774,0.0312081796232987,-0.0440298188345777,0.0181995317337808,0.05873752731588,0.0575690351453055,0.00400260202942411,-0.0105649779016093,0.0253681131625888,0.00268193189979207,0.0138194006751687,0.00968001394032359,0.00171879684592968,-0.0737077335260971,0.0491008765752047,0.0404762449284243,0.0425062535818507,-0.0345963467214504,-0.00418400146909596
"B3GAT1",0.0331504778321136,-0.0660924773559799,-0.000950205479028946,-0.0650578648298348,-0.0516906965506245,0.043811082956754,0.025241309956549,-0.0703386216376312,-0.0290308576111191,-0.0268509418976179,0.0447880988247728,0.128650359180589,0.0291718227466436,0.0136903532999763,0.0853050284895069,0.00432025550059818,0.0699328086177365,-0.0074382889631888,0.0936598740474894,0.00459747138282661,0.00736461113400662,0.0202137943710519,-0.0345594931636866,0.0913000005824263,0.0139964414904091,-0.0242881723419255,-0.0413410622941658,-0.0832834219744846,-0.0954248317017355,-0.0199908416885468,0.0125382615634607,-0.0954623930361071,-0.0982564747911007,0.000970100896804891,0.0756160005316011,-0.029291410303682,-0.0255087943507882,0.0579940606509216,0.0577026058637971,0.0144789594319992
"BAGE",0.0568389785970901,-0.0699886211946286,0.0547332190099587,-0.0479615696251906,0.0452686719031137,0.0599953463783837,0.037519881146252,-0.0116760918910592,0.0586419755157253,0.0141291699044561,-0.0676287039920167,-0.0064618017895618,-0.0140993343839017,0.00230423073952486,-0.0133548308406213,0.0178828450472089,0.031406399974798,0.0049464191017626,-0.00504626344483634,-0.0114877215410289,-0.0279401537535017,0.0334850747472001,0.0274437280974927,-0.0137110555112891,0.0108489922721117,-0.0116797291445747,0.0545374585946541,-0.0402700919556896,0.00595781778929638,-0.0100149159473899,-0.042850509937338,-0.0418780358246475,0.0117673952837772,0.0299293393468189,0.0539614820067655,0.0115071199966621,-0.00128179647285802,-0.056508031721521,0.00557324655728712,0.0025143122016709
